,Unnamed: 0,File_Name,rank,Rank_Diff,Time,SSIM,PSNR
0,0,ILSVRC2012_val_00004573.1_100.j2k,341,-279,5.612200948999998,0.5762009557902368,13.597333144701672
1,1,"ILSVRC2012_val_00043125.1_50,40.j2k",0,0,6.168470518000048,0.8192556640412724,13.290155890619445
2,2,"ILSVRC2012_val_00048781.1_10,5,1.j2k",1,0,5.851767642000141,0.7190846692330038,12.0036287717373
3,3,ILSVRC2012_val_00000531.1_25.j2k,0,1,6.5658633299999565,0.7791654725313446,14.107994667378467
4,4,"ILSVRC2012_val_00048820.1_15,10,1.j2k",14,4,6.2355578550000255,0.6698454914186459,13.69197343211752
5,5,"ILSVRC2012_val_00000067.8_15,10.j2k",0,0,6.0346465919999455,0.7254785260481205,11.504706724388967
6,6,"ILSVRC2012_val_00032831.8_50,40,20.j2k",318,-318,6.2503794960000505,0.4503328425745913,14.229196532728915
7,7,"ILSVRC2012_val_00048820.8_25,20,10.j2k",44,-26,6.4897409640000205,0.6471622747693316,13.596517753619606
8,8,"ILSVRC2012_val_00031164.8_25,20,10.j2k",129,-129,6.001391082000054,0.6110419255002304,12.017939595892544
9,9,ILSVRC2012_val_00005046.1_100.j2k,0,0,6.143254798000044,0.6008079452978109,13.102665493693396
10,10,"ILSVRC2012_val_00000023.8_25,20,10.j2k",1,-1,5.977289320999943,0.906462821613248,16.57236757984999
11,11,ILSVRC2012_val_00040587.8_100.j2k,856,-856,6.215645962000053,0.27323718261995417,11.175596875219355
12,12,"ILSVRC2012_val_00048756.1_200,40,20.j2k",0,1,7.580568502999995,0.5955961376254696,12.579898538417563
13,13,"ILSVRC2012_val_00028105.8_50,40.j2k",297,-297,7.068069544999844,0.470907366653253,12.306227203837855
14,14,"ILSVRC2012_val_00031164.4_100,20.j2k",1,-1,7.150833001999898,0.553169737564832,12.199213976243598
15,15,"ILSVRC2012_val_00046718.1_15,10,1.j2k",0,0,8.014143224000009,0.4324587937281028,18.390999419215433
16,16,"ILSVRC2012_val_00032827.4_25,20.j2k",3,-3,6.751496245999987,0.6372427569251378,12.542426915998046
17,17,"ILSVRC2012_val_00000094.2_100,20.j2k",0,1,6.710477861999833,0.9011345018818744,13.416206859460079
18,18,"ILSVRC2012_val_00001171.4_15,10.j2k",272,-271,6.769562521000125,0.7797903271800979,14.321336012696447
19,19,"ILSVRC2012_val_00004573.4_100,20,10.j2k",388,-326,6.391511262999983,0.6717992772649843,13.54487463975148
20,20,"ILSVRC2012_val_00004218.8_200,40.j2k",32,-28,6.232079953000039,0.6884883466681037,13.467218782423409
21,21,ILSVRC2012_val_00046718.1_10.j2k,0,0,6.253512949999957,0.4355984603345848,18.386071419644207
22,22,"ILSVRC2012_val_00048756.8_100,20.j2k",78,-77,6.220046281000122,0.6242133976511259,12.39776028031087
23,23,ILSVRC2012_val_00033235.4_50.j2k,1,0,6.285350589000018,0.6286118843260273,11.394512476520207
24,24,"ILSVRC2012_val_00032827.8_50,40.j2k",48,-48,6.7285536370000045,0.2835115092851422,11.665437271945715
25,25,ILSVRC2012_val_00048756.1_50.j2k,0,1,6.2338631879999875,0.5694299123620381,12.568050065744163
26,26,"ILSVRC2012_val_00029783.2_10,5,1.j2k",2,-2,6.302567951000128,0.6656354494374174,12.727948782392126
27,27,"ILSVRC2012_val_00001745.8_100,20.j2k",324,-313,6.195422665000024,0.2078391672723524,11.022632169519623
28,28,"ILSVRC2012_val_00027986.2_15,10.j2k",0,0,6.206118819000039,0.7768483001269171,13.125725412616468
29,29,ILSVRC2012_val_00048781.8_200.j2k,256,-255,6.147848062999857,0.3152490893538229,11.731720908988262
30,30,"ILSVRC2012_val_00038941.8_10,5.j2k",40,-39,6.222365401999923,0.6324865156872406,12.87911873537345
31,31,"ILSVRC2012_val_00005581.2_100,20.j2k",0,0,6.366709650000075,0.8876203561960736,15.779583623029671
32,32,"ILSVRC2012_val_00027986.8_15,10,1.j2k",80,-80,6.221445896999969,0.7737648739226118,13.020061080929404
33,33,"ILSVRC2012_val_00004379.4_50,40.j2k",116,-40,6.28856860399992,0.5777381873482275,13.261076200085904
34,34,"ILSVRC2012_val_00043120.2_200,40,20.j2k",0,0,6.300082373000122,0.7327658787468967,12.043294024567262
35,35,"ILSVRC2012_val_00000094.1_10,5,1.j2k",0,1,6.374925865000023,0.909225200358427,13.500053308512634
36,36,"ILSVRC2012_val_00033354.1_15,10,1.j2k",0,1,6.483226982999895,0.6952392688915222,12.479009087348702
37,37,"ILSVRC2012_val_00000067.4_200,40,20.j2k",0,0,7.487523034000106,0.6718383449935229,11.555866265029886
38,38,ILSVRC2012_val_00033354.8_10.j2k,343,-342,7.5528823399999965,0.686200579662953,12.030691224116216
39,39,"ILSVRC2012_val_00004858.8_10,5.j2k",2,64,7.397201824999911,0.8769554853497582,19.420821851476287
40,40,ILSVRC2012_val_00043125.4_200.j2k,5,-5,7.193370669999923,0.6010126245968219,12.654425413916046
41,41,"ILSVRC2012_val_00002998.8_25,20.j2k",0,1,7.608930467999926,0.289419836317264,15.08546997699409
42,42,ILSVRC2012_val_00000023.8_50.j2k,6,-6,6.222204726999962,0.8282590870604273,16.257721977422374
43,43,ILSVRC2012_val_00043120.4_15.j2k,2,-2,6.478996708999831,0.7477714307914954,11.956357407736613
44,44,ILSVRC2012_val_00048756.4_200.j2k,179,-178,6.32350518599992,0.40808500991859176,12.033936822417132
45,45,ILSVRC2012_val_00028105.8_25.j2k,263,-263,6.233820036999988,0.5554626249868714,12.35419864620464
46,46,"ILSVRC2012_val_00042652.4_100,20,10.j2k",286,-259,7.182008033000102,0.3282667921429487,14.895656175899862
47,47,ILSVRC2012_val_00002625.2_15.j2k,0,0,6.351859371000046,0.6203170924883824,12.610706180670386
48,48,"ILSVRC2012_val_00003462.2_50,40.j2k",46,84,6.7260420899999644,0.6709028608855236,13.387509124830773
49,49,ILSVRC2012_val_00030069.4_15.j2k,11,-11,7.0781695160001155,0.7847735519837165,11.963662724046983
