,Unnamed: 0,File_Name,rank,Rank_Diff,Time,SSIM,PSNR
0,0,ILSVRC2012_val_00000785.2_14.png,3,5,5.878485769999315,0.934969774126107,31.258229824258734
1,1,ILSVRC2012_val_00048861.1_20.png,0,0,6.522775838999222,0.9323563524675867,31.370132103538303
2,2,ILSVRC2012_val_00049370.4_6.png,3,-3,7.330990626998755,0.9123425249072188,29.780745518725613
3,3,ILSVRC2012_val_00000094.4_50.png,2,-1,6.395903024998916,0.9783774843051116,35.19040593142029
4,4,ILSVRC2012_val_00038941.2_30.png,2,-1,6.370140625000204,0.9514514263085416,32.38258856905664
5,5,ILSVRC2012_val_00004218.4_18.png,2,2,7.5701286099993,0.9743718825853644,32.98345324632284
6,6,ILSVRC2012_val_00000517.8_25.png,0,1,7.1811515709996465,0.9677785539936868,33.96971390145853
7,7,ILSVRC2012_val_00049370.4_25.png,0,0,7.604585588000192,0.9587491187656584,33.8178825027969
8,8,ILSVRC2012_val_00000067.4_25.png,0,0,7.24719194699901,0.9614607971065259,32.64308681375815
9,9,ILSVRC2012_val_00032827.2_7.png,1,-1,7.500278888001048,0.908473126483877,29.877391657320427
10,10,ILSVRC2012_val_00002625.8_1.png,2,-2,7.168658512999174,0.8193482492059927,23.94565123130849
11,11,ILSVRC2012_val_00001745.4_20.png,10,1,6.277059914998972,0.9552580027587004,31.64669024861821
12,12,ILSVRC2012_val_00049923.8_1.png,212,-212,6.242421278999245,0.7874133558206102,22.413339054579158
13,13,ILSVRC2012_val_00003462.8_1.png,82,48,6.2631694190004055,0.9032786280775288,25.200121278724733
14,14,ILSVRC2012_val_00029932.8_20.png,7,-7,6.3007291779995285,0.9791754800435436,32.96372575251021
15,15,ILSVRC2012_val_00002998.1_12.png,1,0,6.326701723999577,0.849770086193218,28.23906677950745
16,16,ILSVRC2012_val_00032827.4_10.png,1,-1,6.285506383999746,0.9467336231012384,31.245275858690537
17,17,ILSVRC2012_val_00000597.4_20.png,1,0,6.405804220999927,0.9632449088826802,31.926911685256194
18,18,ILSVRC2012_val_00000785.4_18.png,7,1,6.309438957001476,0.955420184328034,31.705531263051263
19,19,ILSVRC2012_val_00032831.8_2.png,711,-711,6.370735200000127,0.9033701850465842,25.475026971007708
20,20,ILSVRC2012_val_00046567.4_25.png,0,0,6.376592212000105,0.9447435097943676,32.877086656852015
21,21,ILSVRC2012_val_00029783.4_40.png,0,0,6.349159209999925,0.970525361546384,33.72285292352118
22,22,ILSVRC2012_val_00000597.4_14.png,1,0,6.478130785999383,0.9557940432360316,31.007814258461124
23,23,ILSVRC2012_val_00043125.4_2.png,0,0,6.389026041000762,0.8662974284462603,26.691645458603826
24,24,ILSVRC2012_val_00048756.4_2.png,4,-3,6.3803811779998805,0.8220240377075272,26.52356779346309
25,25,ILSVRC2012_val_00048820.1_2.png,10,8,6.418681507000656,0.7351260378670145,25.573761755340428
26,26,ILSVRC2012_val_00000094.4_18.png,2,-1,6.247215919000155,0.9611157009767639,32.82991540555371
27,27,ILSVRC2012_val_00031164.1_14.png,0,0,6.288023736999094,0.9549750639045236,30.78741750251867
28,28,ILSVRC2012_val_00029932.2_40.png,0,0,6.304760490000263,0.9777551873661176,34.102420676078474
