,Truth_Label,File_Name,Truth_Label_Number,Truth_Label_Rank
0,n07742313 Granny Smith,ILSVRC2012_val_00000023.JPEG,948,0
1,n07742313 Granny Smith,ILSVRC2012_val_00043125.JPEG,948,0
2,n07742313 Granny Smith,ILSVRC2012_val_00046567.JPEG,948,0
3,n07742313 Granny Smith,ILSVRC2012_val_00046718.JPEG,948,0
4,n07742313 Granny Smith,ILSVRC2012_val_00049370.JPEG,948,0
5,n04147183 schooner,ILSVRC2012_val_00000094.JPEG,780,1
6,n04147183 schooner,ILSVRC2012_val_00049923.JPEG,780,0
7,n02981792 catamaran,ILSVRC2012_val_00001063.JPEG,484,1
8,n02981792 catamaran,ILSVRC2012_val_00001171.JPEG,484,1
9,n02981792 catamaran,ILSVRC2012_val_00004218.JPEG,484,4
10,n02981792 catamaran,ILSVRC2012_val_00043109.JPEG,484,0
11,n04483307 trimaran,ILSVRC2012_val_00005196.JPEG,871,0
12,n04483307 trimaran,ILSVRC2012_val_00005581.JPEG,871,0
13,"n03041632 cleaver, meat cleaver, chopper",ILSVRC2012_val_00003462.JPEG,499,130
14,"n03041632 cleaver, meat cleaver, chopper",ILSVRC2012_val_00048820.JPEG,499,18
15,"n03041632 cleaver, meat cleaver, chopper",ILSVRC2012_val_00008526.JPEG,499,45
16,"n03041632 cleaver, meat cleaver, chopper",ILSVRC2012_val_00004379.JPEG,499,76
17,n07802026 hay,ILSVRC2012_val_00042652.JPEG,958,27
18,n07802026 hay,ILSVRC2012_val_00043120.JPEG,958,0
19,n01871265 tusker,ILSVRC2012_val_00000067.JPEG,101,0
20,n01871265 tusker,ILSVRC2012_val_00002625.JPEG,101,0
21,n01871265 tusker,ILSVRC2012_val_00002998.JPEG,101,1
22,n01871265 tusker,ILSVRC2012_val_00001358.JPEG,101,258
23,n01871265 tusker,ILSVRC2012_val_00000754.JPEG,101,0
24,"n02504013 Indian elephant, Elephas maximus",ILSVRC2012_val_00000597.JPEG,385,1
25,"n02504458 African elephant, Loxodonta africana",ILSVRC2012_val_00033235.JPEG,386,1
26,"n02504458 African elephant, Loxodonta africana",ILSVRC2012_val_00048781.JPEG,386,1
27,n02089973 English foxhound,ILSVRC2012_val_00000028.JPEG,167,2
28,n02107574 Greater Swiss Mountain dog,ILSVRC2012_val_00000531.JPEG,238,1
29,n02088364 beagle,ILSVRC2012_val_00029932.JPEG,162,0
30,"n02111277 Newfoundland, Newfoundland dog",ILSVRC2012_val_00043152.JPEG,256,0
31,"n02115641 dingo, warrigal, warragal, Canis dingo",ILSVRC2012_val_00000785.JPEG,273,8
32,"n02120505 grey fox, gray fox, Urocyon cinereoargenteus",ILSVRC2012_val_00048756.JPEG,280,1
33,"n02119022 red fox, Vulpes vulpes",ILSVRC2012_val_00000517.JPEG,277,1
34,"n07742313 n02115913 dhole, Cuon alpinus",ILSVRC2012_val_00001487.JPEG,274,0
35,"n02134418 sloth bear, Melursus ursinus, Ursus ursinus",ILSVRC2012_val_00001745.JPEG,297,11
36,n03482405 hamper,ILSVRC2012_val_00003890.JPEG,588,18
37,n04447861 toilet seat,ILSVRC2012_val_00004573.JPEG,861,62
38,n04591157 Windsor tie,ILSVRC2012_val_00004858.JPEG,906,66
39,"n02992211 cello, violoncello",ILSVRC2012_val_00005046.JPEG,486,0
40,"n03187595 dial telephone, dial phone",ILSVRC2012_val_00005223.JPEG,528,0
41,n01833805 hummingbird,ILSVRC2012_val_00027986.JPEG,94,0
42,"n04039381 racket, racquet",ILSVRC2012_val_00028105.JPEG,752,0
43,n02423022 gazelle,ILSVRC2012_val_00029641.JPEG,353,0
44,"n02110063 malamute, malemute, Alaskan malamute",ILSVRC2012_val_00029783.JPEG,249,0
45,"n04552348 warplane, military plane",ILSVRC2012_val_00030069.JPEG,895,0
46,"n02892201 brass, memorial tablet, plaque",ILSVRC2012_val_00031164.JPEG,458,0
47,n07753113 fig,ILSVRC2012_val_00032827.JPEG,952,0
48,n01580077 jay,ILSVRC2012_val_00032831.JPEG,17,0
49,n07714571 head cabbage,ILSVRC2012_val_00033354.JPEG,936,1
50,n03125729 cradle,ILSVRC2012_val_00038941.JPEG,516,1
51,n02086910 papillon,ILSVRC2012_val_00040587.JPEG,157,0
52,n01770393 scorpion,ILSVRC2012_val_00048800.JPEG,71,0
53,n02951358 canoe,ILSVRC2012_val_00043133.JPEG,472,0
54,"n02071294 killer whale, killer, orca, grampus, sea wolf, Orcinus orca",ILSVRC2012_val_00048861.JPEG,148,0
